$version=2
**** Load  :         1         Sgmnt:    1
2026   3     0     0     0     0     0291.62330.16628.58793.66801.17587.02551.04
2027   1     0     0     0     0     0169.31175.47407.12363.64275.14181.82161.62
2027   2     0     0     0     0     0251.09270.13556.62634.93662.64477.93432.52
2027   3     0     0     0     0     0291.62330.16628.58793.66801.17587.02551.04
2028   1     0     0     0     0     0169.31175.47407.12363.64275.14181.82161.62
2028   2     0     0     0     0     0251.09270.13556.62634.93662.64477.93432.52
2028   3     0     0     0     0     0291.62330.16628.58793.66801.17587.02551.04
2029   1     0     0     0     0     0169.31175.47407.12363.64275.14181.82161.62
2029   2     0     0     0     0     0251.09270.13556.62634.93662.64477.93432.52
2029   3     0     0     0     0     0291.62330.16628.58793.66801.17587.02551.04
2030   1     0     0     0     0     0169.31175.47407.12363.64275.14181.82161.62
2030   2     0     0     0     0     0251.09270.13556.62634.93662.64477.93432.52
2030   3     0     0     0     0     0291.62330.16628.58793.66801.17587.02551.04
**** Load  :         7         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1351.29 332.5370.97 262.5226.21225.31220.16238.81 297.5296.37   330290.32
2025   2520.95511.88530.24   550 590.2592.25589.19608.45573.75564.52515.63466.33
2025   3612.76625.63598.79 687.5713.59727.44750.65697.74658.75639.11639.38593.35
2026   1351.29 332.5370.97 262.5226.21225.31220.16238.81 297.5296.37   330290.32
2026   2520.95511.88530.24   550 590.2592.25589.19608.45573.75564.52515.63466.33
2026   3612.76625.63598.79 687.5713.59727.44750.65697.74658.75639.11639.38593.35
2027   1365.34 345.8385.81   273235.26234.33228.97248.36 309.4308.23 343.2301.94
2027   2541.79532.35551.45   572613.81615.94612.76632.79 596.7 587.1536.25484.98
2027   3637.27650.65622.74   715742.13756.54780.67725.65 685.1664.68664.95617.08
2028   1379.96359.64401.24283.92244.66 243.7238.13 258.3321.77320.55356.93314.02
2028   2563.47553.66573.51594.88638.34640.59637.27658.11620.55610.58557.71 504.4
2028   3662.77 676.7647.65 743.6 771.8786.81 811.9754.69712.48691.26691.56641.78
2029   1395.15374.03417.29295.28254.45253.44247.65268.63334.64333.38 371.2326.58
2029   2585.99575.81596.45618.68663.88 666.2662.77684.41645.38635.01   580524.57
2029   3689.26703.76673.56773.35802.67818.26844.38784.86740.99718.92 719.2667.45
2030   1410.95388.98433.98307.09264.64263.58257.56279.37348.04346.71386.04339.63
2030   2609.42598.82620.31643.43690.46692.84689.28711.79671.21660.41603.19545.54
2030   3716.83 731.9 700.5804.28834.81850.98878.16816.25770.65747.68747.96694.13
**** Load  :         8         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1210.77201.54222.58 157.5 134.4133.88130.83 141.9176.75177.82   198181.94
2025   2312.57310.26318.15   330350.65 351.9350.12361.52340.88338.71309.38292.23
2025   3367.66379.21359.27 412.5423.96432.23446.06414.58391.38383.47383.63371.83
2026   1210.77201.54222.58 157.5 134.4133.88130.83 141.9176.75177.82   198181.94
2026   2312.57310.26318.15   330350.65 351.9350.12361.52340.88338.71309.38292.23
2026   3367.66379.21359.27 412.5423.96432.23446.06414.58391.38383.47383.63371.83
2027   1218.15208.59230.37163.01 139.1138.56 135.4146.86182.93184.05204.93 188.3
2027   2323.51321.12329.28341.55362.92364.21362.35374.17 352.8350.56320.21302.46
2027   3380.53392.48371.85426.94438.79447.34461.65429.08405.07396.89397.06384.84
2028   1 225.8 215.9238.43168.72143.96143.41140.14   152189.33190.49212.11 194.9
2028   2334.84332.37 340.8 353.5375.61376.97375.04387.28365.14362.83331.42313.06
2028   3393.86406.23384.86441.88454.13463.02477.81444.12419.23410.78410.97398.33
2029   1 233.7223.45246.77174.62   149148.43145.05157.32195.96197.15219.53201.72
2029   2346.56   344352.72365.86388.76390.16388.19400.83377.93375.52343.02324.01
2029   3407.64420.45398.32457.33470.04479.21494.56459.65433.91425.14425.35412.27
